id,date,merchant,category,amount
1,2025-07-23,Brew Bros,Transportation,-66.7
2,2025-05-14,PG&E,Subscriptions,-18.48
3,2025-09-17,PG&E,Subscriptions,-54.59
4,2025-08-11,Safeway,Groceries,-122.06
5,2025-06-02,Brew Bros,Food & Drink,-161.8
6,2025-06-18,Lyft,Utilities,-151.57
7,2025-06-26,PowerCo,Food & Drink,-45.13
8,2025-10-04,Brew Bros,Rent,-176.5
9,2025-10-11,Spotify,Rent,-45.67
10,2025-08-23,Market,Utilities,-42.99
11,2025-10-19,Brew Bros,Entertainment,-69.09
12,2025-07-17,PG&E,Transportation,-148.81
13,2025-05-24,PowerCo,Subscriptions,-121.44
14,2025-06-03,Netflix,Subscriptions,-111.32
15,2025-08-24,MusicBox,Rent,-111.13
16,2025-06-11,Lyft,Rent,-99.68
17,2025-10-25,Costco,Income,3750.34
18,2025-09-24,PG&E,Subscriptions,-61.98
19,2025-08-07,Lyft,Utilities,-172.08
20,2025-06-06,Brew Bros,Food & Drink,-147.5
21,2025-06-16,MusicBox,Subscriptions,-198.03
22,2025-08-01,Market,Rent,-159.4
23,2025-10-23,MusicBox,Transportation,-30.15
24,2025-09-06,Brew Bros,Utilities,-7.84
25,2025-08-23,Market,Utilities,-111.84
26,2025-10-02,Brew Bros,Entertainment,-101.14
27,2025-05-27,Brew Bros,Income,1044.62
28,2025-05-31,Market,Groceries,-188.06
29,2025-10-17,Brew Bros,Transportation,-150.6
30,2025-07-02,Market,Transportation,-123.41
31,2025-10-12,Spotify,Utilities,-167.7
32,2025-08-23,Safeway,Groceries,-151.22
33,2025-07-08,PG&E,Food & Drink,-141.08
34,2025-11-07,Market,Transportation,-120.08
35,2025-10-09,Market,Groceries,-118.93
36,2025-07-18,PowerCo,Other,-127.2
37,2025-08-26,PG&E,Transportation,-159.56
38,2025-10-02,Costco,Transportation,-77.66
39,2025-09-21,Netflix,Utilities,-147.53
40,2025-06-05,Netflix,Income,3987.43
41,2025-07-30,Safeway,Subscriptions,-93.94
42,2025-07-06,MusicBox,Food & Drink,-112.93
43,2025-08-03,PowerCo,Income,1886.64
44,2025-09-22,Uber,Transportation,-139.49
45,2025-05-30,Netflix,Transportation,-24.74
46,2025-08-26,Brew Bros,Utilities,-111.24
47,2025-05-20,CoffeeHouse,Rent,-97.06
48,2025-09-08,Costco,Other,-115.55
49,2025-05-13,PG&E,Transportation,-142.44
50,2025-09-27,Friends Cafe,Utilities,-134.94
51,2025-11-06,PG&E,Rent,-130.35
52,2025-08-01,Spotify,Subscriptions,-93.67
53,2025-06-06,CoffeeHouse,Subscriptions,-39.22
54,2025-07-24,Friends Cafe,Transportation,-108.79
55,2025-10-13,MusicBox,Transportation,-70.2
56,2025-06-06,Costco,Subscriptions,-60.31
57,2025-07-27,MusicBox,Other,-191.38
58,2025-06-16,Safeway,Rent,-14.19
59,2025-07-24,Safeway,Groceries,-171.62
60,2025-07-20,Costco,Groceries,-169.9
61,2025-10-13,Safeway,Other,-41.66
62,2025-09-14,CoffeeHouse,Food & Drink,-60.24
63,2025-05-25,Costco,Groceries,-53.85
